StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,Q3,Q3_6_TEXT,Q4,Q14,Q5,Q15,Q7,Q16,Q16_3_TEXT,Q17,Q53,Q9,Q11,Q12,Q20,Q18,Q13,Q13_6_TEXT,Q19,Q22,Q23,Q23_2_TEXT,Q24,Q48,Q29,Q30,Q31,Q27,Q27_2_TEXT,Q54,Q55,Q32,Q34,Q36,Q33,Q35,Q37,Q39,Q40,Q41,Q41_7_TEXT,Q44,Q42,Q45,Q46,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_8_TEXT,Q51,Q51_5_TEXT,Q52
2024-11-21 06:13:58,2024-11-21 06:18:47,IP Address,174.244.147.29,100,289,True,2024-11-21 06:18:48,R_72PulMRRLDwo2fD,,,,,40.6286,-73.939,anonymous,EN,26-30,Non-binary,,White,,White,No,Syracuse,No,2020,Suffolk County,,Rocky Point,Yes,Rocky Point Elementary,1-2,"1-2		",1-5,"1st   	 ,2nd		","Children with hearing loss,Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,"Often ","Often ","Often ",No,,"Rarely ",None,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,"Guest Speaker(s),Lecture(s)",No,"Online Modules,Seminars",,No,Disagree,Disagree,"Agree ",Very Important,Important,Neutral,Very Important,Important,Neutral,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 06:21:32,2024-11-21 06:25:29,IP Address,174.244.147.29,100,237,True,2024-11-21 06:25:30,R_5pYotoiUc0txhLz,,,,,40.6286,-73.939,anonymous,EN,36-40,Female,,Black or African American,,"Black or African American ",No,Hofstra,No,2014,Suffolk County,,Shoreham Wading River,Yes,Shoreham Elementary,"6-10 ","3-5 		",6-10,"3rd   		,4th         	","Children with autism spectrum disorder ,Children with hearing loss,Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,Always,Always,"Often ",No,,Sometimes,1-2,Agree,Agree,Disagree,Agree,Agree,Disagree,"Workshops,Guest Speaker(s),Lecture(s)",Yes,"Continuing Education Units (CEUs),Online Modules,Workshops",,Yes,Disagree,Disagree,Neutral,Important,Very Important,Neutral,Very Important,Important,Neutral,Very Important,,,"Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 06:42:29,2024-11-21 06:42:42,IP Address,174.244.147.29,100,12,True,2024-11-21 06:42:43,R_3ksKkweLPoqskmw,,,,,40.6286,-73.939,anonymous,EN,36-40,Male,,White,,White,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 06:43:20,2024-11-21 06:49:42,IP Address,174.244.147.29,100,381,True,2024-11-21 06:49:43,R_3og0oZYgEfvDvpL,,,,,40.6286,-73.939,anonymous,EN,26-30,Female,,White,,White,No,NYU,No,2019,Nassau County,,Bellmore,Yes,Bellmore Elementary,1-2,"1-2		",1-5,"1st   	 ,2nd		","Children with autism spectrum disorder ",,1-5,Asian,No,,No,,"Often ",Always,Always,No,,Sometimes,1-2,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,"Workshops,Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Online Modules,Workshops,Seminars",,No,Disagree,Disagree,Disagree,Very Important,Important,Neutral,Very Important,Very Important,Very Important,Very Important,,,"Entire undergraduate course,Entire graduate course",,Providing more seminars
2024-11-21 06:50:28,2024-11-21 06:54:48,IP Address,174.244.147.29,100,259,True,2024-11-21 06:54:49,R_3AF1yU6coJWvYcd,,,,,40.6286,-73.939,anonymous,EN,31-35,Female,,Black or African American,,"Black or African American ",No,Scranton,No,2018,Suffolk County,,Miller Place,Yes,Miller Place Elementary,3-5,"1-2		",6-10,"K      	,1st   	 ,2nd		,3rd   		,4th         	","Children with hearing loss,Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,Asian,No,,No,,"Often ",Always,Always,No,,"Rarely ",None,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,"Guest Speaker(s),Lecture(s)",No,"Online Modules,Workshops,Seminars",,No,Agree,Agree,"Agree ",Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,,,"Entire undergraduate course,Entire graduate course",,
2024-11-21 06:57:37,2024-11-21 07:01:04,IP Address,174.244.147.29,100,206,True,2024-11-21 07:01:06,R_51XrdLnLoyMSQOl,,,,,40.6286,-73.939,anonymous,EN,46-50,Female,,White,,White,No,LIU,No,2005,Suffolk County,,Longwood,Yes,Longwood Elementary,"16-20			","11-15 		",11-15,"Pre-K 	   ,K      	,1st   	 ","Children with autism spectrum disorder ,Children who are learning English as an additional language",,1-5,"Middle Eastern or North African ",No,,No,,"Often ","Often ",Always,No,,"Rarely ",None,Agree,Agree,Disagree,Agree,Agree,Disagree,"Guest Speaker(s),Lecture(s)",Yes,"Workshops,Seminars,Webinars",,No,Agree,Agree,Neutral,Very Important,Very Important,Important,Important,Important,Important,Important,,,"Entire undergraduate course,Entire graduate course",,
2024-11-21 07:02:50,2024-11-21 07:09:07,IP Address,174.244.147.29,100,376,True,2024-11-21 07:09:08,R_7kRn9NB8ejmJv6n,,,,,40.6286,-73.939,anonymous,EN,31-35,Male,,American Indian or Alaska Native,,American Indian or Alaskan Native,No,SBU,No,2014,Suffolk County,,William Floyd,Yes,William Floyd Elementary,3-5,"3-5 		",1-5,"K      	,1st   	 ","Children with hearing loss,Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,Always,Always,Always,No,,Often,3-4,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,"One or more course(s),Guest Speaker(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Continuing Education Units (CEUs),Seminars,Webinars",,Yes,Agree,Agree,Strongly Agree,Very Important,Very Important,Neutral,Very Important,Important,Important,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 07:17:44,2024-11-21 07:24:32,IP Address,174.244.147.29,100,407,True,2024-11-21 07:24:32,R_7QGSFcydtlSCswi,,,,,40.6286,-73.939,anonymous,EN,31-35,Male,,Black or African American,,"Black or African American ",No,St. Johns,No,2015,Nassau County,,East Meadow,Yes,East Meadow Elementary,"6-10 ","3-5 		",1-5,"Pre-K 	   ,K      	,1st   	 ","Children with speech sound disorders (i.e., articulation and phonological),Children who are learning English as an additional language",,1-5,Native Hawaiian or Pacific Islander,No,,No,,"Often ","Often ",Always,No,,Sometimes,1-2,Agree,Neutral,Neutral,Agree,Disagree,Disagree,"Workshops,Guest Speaker(s),Lecture(s)",No,None,,No,Neutral,Neutral,Neutral,Very Important,Very Important,Neutral,Very Important,Important,Neutral,Very Important,,,"Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 07:38:47,2024-11-21 07:48:18,IP Address,174.244.147.29,100,570,True,2024-11-21 07:48:19,R_1PYoNKdlgcOTGoK,,,,,40.6286,-73.939,anonymous,EN,26-30,Male,,American Indian or Alaska Native,,American Indian or Alaskan Native,No,Adelphi Univ,No,2018,Suffolk County,,Lynbrook,Yes,Lynbrook Elementary,3-5,"1-2		",1-5,"1st   	 ,2nd		,3rd   		,4th         	","Children with hearing loss,Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,Sometimes,"Often ",Sometimes,No,,Sometimes,1-2,Agree,Disagree,Disagree,Agree,Agree,Disagree,"One or more course(s),Workshops,Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Continuing Education Units (CEUs),Workshops",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Important,Important,Important,Neutral,Very Important,,,"Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 07:48:55,2024-11-21 07:51:52,IP Address,174.244.147.29,100,176,True,2024-11-21 07:51:52,R_6QKG4GklQSvpv8l,,,,,40.6286,-73.939,anonymous,EN,21-25,Female,,White,,White,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 07:52:25,2024-11-21 07:53:48,IP Address,174.244.147.29,100,82,True,2024-11-21 07:53:49,R_8Gc9nvFqPPFfKmd,,,,,40.6286,-73.939,anonymous,EN,26-30,Male,,White,,White,No,Scranton,No,2017,Suffolk County,,Valley Stream,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21 07:53:51,2024-11-21 07:58:16,IP Address,174.244.147.29,100,264,True,2024-11-21 07:58:16,R_2wWzAPU1BdPBUPL,,,,,40.6286,-73.939,anonymous,EN,41-45,Male,,Native Hawaiian or Pacific Islander,,Native Hawaiian or Pacific Islander,No,Ithaca,No,2008,Nassau County,,Port Washington,Yes,Port Washington Elementary,"11-15 		","11-15 		",6-10,"Pre-K 	   ,K      	,1st   	 ","Children with autism spectrum disorder ,Children with hearing loss,Children with speech sound disorders (i.e., articulation and phonological),Children who are learning English as an additional language",,1-5,Native Hawaiian or Pacific Islander,No,,No,,"Often ","Often ",Always,No,,Always,5 or more,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"One or more course(s),Workshops,Guest Speaker(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Continuing Education Units (CEUs),Online Modules",,Yes,Agree,Strongly Agree,"Agree ",Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,,,"Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 08:00:06,2024-11-21 08:03:48,IP Address,174.244.147.29,100,221,True,2024-11-21 08:03:49,R_10uru05RoGIJ03v,,,,,40.6286,-73.939,anonymous,EN,31-35,Male,,Black or African American,,"Black or African American ",No,Molloy College,No,2010,Nassau County,,Valley Stream,Yes,Valley Stream Elementary,"6-10 ","3-5 		",6-10,"3rd   		,4th         	","Children with autism spectrum disorder ,Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,"Often ","Often ",Always,No,,Often,3-4,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,"Workshops,Guest Speaker(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Continuing Education Units (CEUs),Seminars,Webinars",,Yes,Agree,Strongly Agree,Strongly Agree,Very Important,Very Important,Important,Important,Very Important,Unimportant,Very Important,,,"Entire undergraduate course,Integrated into existing undergraduate courses",,
2024-11-21 08:03:57,2024-11-21 08:09:00,IP Address,174.244.147.29,100,303,True,2024-11-21 08:09:02,R_1XvWSuD6NlrAzfP,,,,,40.6286,-73.939,anonymous,EN,46-50,Male,,White,,"Hispanic, Latino, or Spanish origin",No,Hofstra University,No,2007,,,East Meadow,Yes,East Meadow Elementary,"16-20			","16-20			",11-15,"1st   	 ,2nd		,3rd   		,4th         	,5th            ","Children with autism spectrum disorder ,Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,6-10,"Hispanic, Latino, or Spanish origin","If yes, please indicate what language.",Spanish,"If yes, please indicate what language.",Fluent,Rarely,Rarely,Rarely,No,,Often,1-2,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,"Workshops,Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,Online Modules,,No,Neutral,Neutral,"Agree ",Very Important,Very Important,Important,Important,Important,Very Important,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 08:12:55,2024-11-21 08:16:43,IP Address,174.244.147.29,100,227,True,2024-11-21 08:16:43,R_5cv0icbUch8sV99,,,,,40.6286,-73.939,anonymous,EN,21-25,Male,,White,,White,No,SBU,No,2022,Suffolk County,,Rocky Point,Yes,Rocky Point Elementary,1-2,Less than one year,1-5,"1st   	 ,2nd		","Children with speech sound disorders (i.e., articulation and phonological),Children who are learning English as an additional language",,1-5,Not Applicable (N/A),No,,No,,"Often ","Often ","Often ",No,,Always,1-2,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,"One or more course(s),Workshops,Lecture(s)",Yes,"Online Modules,Workshops,Webinars",,No,Agree,Agree,Strongly Agree,Very Important,Important,Important,Very Important,Important,Important,Very Important,,,"Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
2024-11-21 08:20:01,2024-11-21 08:31:35,IP Address,174.244.147.29,100,694,True,2024-11-21 08:31:37,R_5OVaqvM2OuRnZ9g,,,,,40.6286,-73.939,anonymous,EN,31-35,Male,,Asian,,Asian,No,SBU,No,2015,Suffolk County,,Westhampton Beach,Yes,Westhampton Beach Elementary,"6-10 ","3-5 		",11-15,"1st   	 ,2nd		,3rd   		,4th         	,5th            ","Children with autism spectrum disorder ,Children with hearing loss,Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,Always,Always,Always,No,,Often,3-4,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,"One or more course(s),Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Certificate Program,Workshops",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Important,Important,Important,Important,Very Important,,,"Entire graduate course,Integrated into existing graduate courses",,
2024-11-21 08:36:14,2024-11-21 08:39:52,IP Address,174.244.147.29,100,218,True,2024-11-21 08:39:53,R_5CEgB5j6AGWLPvH,,,,,40.6286,-73.939,anonymous,EN,26-30,Female,,White,,White,No,NYU,No,2019,Suffolk County,,Riverhead,Yes,Pulaski Elementary,3-5,"3-5 		",1-5,"1st   	 ,2nd		,4th         	","Children with speech sound disorders (i.e., articulation and phonological),Children with motor speech disorders (i.e., Childhood Apraxia of Speech),Children who are learning English as an additional language",,1-5,"Hispanic, Latino, or Spanish origin",No,,No,,Always,Always,"Often ",No,,Often,3-4,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,"Lecture(s),Hands-on experience (e.g., clinical rotations and externships)",Yes,"Online Modules,Workshops",,Yes,Agree,Agree,"Agree ",Very Important,Very Important,Important,Important,Very Important,Important,Very Important,,,"Entire undergraduate course,Entire graduate course,Integrated into existing undergraduate courses,Integrated into existing graduate courses",,
